Ano;Mês/Ano;Estado;Bacia;Campo;Poço;Ambiente;Instalação;Produção de Óleo (m³);Produção de Condensado (m³);Produção de Gás Associado (Mm³);Produção de Gás Não Associado (Mm³);Produção de Água (m³);Injeção de Gás (Mm³);Injeção de Água para Recuperação Secundária (m³);Injeção de Água para Descarte (m³);Injeção de Gás Carbônico (Mm³);Injeção de Nitrogênio (Mm³);Injeção de Vapor de Água (t);Injeção de Polímeros (m³);Injeção de Outros Fluidos (m³)
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-6D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;7-CR-7D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;CURIMÃ;8-CR-13D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;3-CES-37D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;3-CES-38D-CE;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-2D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-3D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-4D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-7D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;ESPADA;7-EP-8DP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-10D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-11D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-12D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-13D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-14-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-15D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-17D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-1D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-20D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-21D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
